"X","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"8371",8371,703,116,15.9,-5.66,17,0.14,0.1,-0.15,-22,64,-156,22,601,-318,-49.3,-14.4,-13.2,14,-2.65,0.18,0.69,55,-110,-56,718,-35,144,89.21672997,34.12379176,55.98760441,14,0.08,-0.37,0.15,46,107,73,-301,558,-74,-20.3,33.7,-144,35,-0.63,2.57,0.67,-338,2,49,-698,364,558,"B"
"1344",1344,205,121,-43.7,173,17,0.13,0.11,-0.15,47,46,-157,161,619,-306,-15.4,-22.2,-53.6,23,-0.74,-0.34,0.85,137,-116,-142,765,-67,-47,54.63600244,-28.07846503,-94.11511441,18,-0.02,-0.08,0,-48,90,-140,-552,296,9,0,0,0,40,1.03,0.5,0.54,-375,108,16,-542,-172,371,"A"
"7742",7742,535,118,-50.9,-178,17,0.34,0.11,-0.05,52,42,-153,211,595,-311,20.6,-14.6,-2.08,7,3.1,-1.56,1.03,33,-45,44,617,134,307,112.8299411,6.059330379,-43.77399825,22,-0.06,0.47,0.05,13,194,-91,-259,523,140,0,0,0,48,1.51,-0.48,0.44,-22,469,10,-121,771,658,"B"
"1573",1573,215,121,-43.5,172,17,0.13,0.11,-0.16,52,44,-154,171,610,-293,31,-9.79,-14.2,5,2.62,-1.35,0.95,20,-38,12,639,124,301,56.09450292,-32.2204849,-90.32025295,16,0,0.16,0.07,-50,84,-124,-543,300,22,0,0,0,46,0.47,3.02,1.12,-212,397,57,-663,619,811,"A"
"9239",9239,856,1.49,6.6,-93.2,3,0.03,0,-0.02,-16,4,22,1,603,-311,95.2,-35.9,27.5,15,3.07,-1.72,0.25,48,131,-56,683,34,263,76.04137646,80.95429324,2.896292715,18,-0.27,0.24,0,125,119,5,-39,624,18,134,25.3,120,35,-0.29,2.5,0.67,-57,293,-164,-569,667,698,"B"
"3687",3687,424,0.78,4.81,-87.8,4,0.08,0,0.02,-13,5,36,47,638,-318,0,0,0,18,-2.2,0.82,-0.2,68,104,-125,723,10,157,54.28429037,-54.28429037,-75.16787403,29,0.05,0.37,-0.02,-146,146,-193,-507,360,11,77.1,-2.59,113,40,1.36,-3.52,-0.49,215,303,-115,-296,795,872,"A"
"13137",13137,115,122,25.2,-5.22,19,-0.35,-0.02,-0.43,-45,70,-172,1,589,-364,54.3,16.1,-23.4,41,-2.47,0.55,0.48,400,-54,-46,740,1,-112,-5.072376105,22.49820409,133.9974215,10,0.47,-0.13,-0.2,22,-5,96,516,-531,-70,136,41.1,129,38,0.26,-0.74,0,-198,264,-171,-683,444,504,"D"
"16149",16149,7,139,-39.8,139,18,0.45,0.16,0.2,65,41,-155,186,594,-352,-33.3,4.51,-79,25,-2.78,0.56,0.57,-222,-10,111,154,272,580,113.8369141,16.58411976,-39.54152604,22,0.98,-1.03,-0.54,36,198,-84,-229,543,129,0,0,0,43,0.87,1.77,1.25,10,417,-9,18,697,602,"E"
"14257",14257,392,1.18,8.23,-93.8,3,0.02,0,-0.02,-23,5,19,2,602,-315,78.1,-43.1,24.3,17,-2.04,0.47,-0.61,77,23,-142,744,-185,160,50.04709191,22.33155364,101.3986724,3,-0.05,-0.14,0.11,6,13,23,-528,324,-19,161,48.5,138,37,0.08,-1.94,-0.39,-153,266,-190,-662,471,544,"D"
"11014",11014,470,0.79,5.19,-87.6,5,0.02,0,0,-14,1,43,54,635,-302,0,0,0,38,-2.84,1.54,-0.61,-281,249,-33,-142,425,512,59.77619944,-47.81596362,-75.69113763,29,0.42,0.03,-0.39,-130,159,-194,-492,361,54,128,-16.2,89.7,31,0,-0.05,0.03,190,159,-181,-7,671,746,"C"
"9978",9978,269,1.37,1.78,-88.2,2,-0.06,0,0.02,-7,3,20,32,567,-427,103,-36.4,2.18,28,-0.75,-0.22,0.18,125,58,-239,740,-102,1,-19.36583004,-19.36583004,-129.5153528,1,-0.02,0.21,0.08,-2,-2,-10,-496,153,257,168,7.81,-3.92,27,-0.21,3.29,0.1,160,78,195,569,-509,63,"C"
"14472",14472,484,0.76,4.34,-87.2,4,0.02,0,0,-11,1,37,56,633,-312,0,0,0,13,0.1,-0.05,-0.03,37,116,-34,532,81,433,64.52944785,-48.5081075,-70.59242954,30,0.35,0.77,-0.59,-138,178,-192,-430,411,113,145,21.4,116,38,0.14,0.05,0.11,-116,304,-178,-582,652,697,"D"
"16771",16771,126,138,27.2,2.49,20,-0.56,-0.03,-0.43,-11,49,-193,-36,506,-486,17.2,25.2,-64.5,17,2.3,-1.03,0.49,-44,26,160,-320,343,534,-24.09651389,8.803366191,131.3651179,8,0.83,-0.27,-0.05,7,-19,77,441,-590,-112,118,-6.82,84.5,34,0.34,0.75,0.23,70,277,-170,-176,762,653,"E"
"13789",13789,285,1.65,0.3,-81.2,3,-0.18,0.5,1.51,13,-29,-12,78,519,-495,81.9,-18.2,40.6,18,4.26,-1.16,0.15,-77,160,-29,583,76,383,-53.64925125,-57.66269509,-72.67733659,6,1.32,-0.59,-0.03,-32,-30,-39,-532,166,210,-179,12,30.9,42,0.19,-4.54,-0.75,78,360,177,218,275,-226,"D"
"11828",11828,614,127,-41.5,161,18,0.1,0.11,-0.18,51,46,-160,163,602,-313,-22.1,-36.4,-27.6,14,0.51,-0.55,0.9,87,-94,-44,702,13,217,35.68849368,-33.79918499,-106.8238763,17,0.08,0.11,-0.15,-56,59,-148,-569,223,65,0,0,0,44,1.04,-1.12,0.18,-212,379,-13,-622,655,660,"C"
"2599",2599,322,1.53,6.78,-93.9,3,-0.02,0,-0.03,-16,2,22,-7,607,-312,-136,12.6,-166,34,0.02,-0.02,-0.03,-289,111,-123,-367,343,515,103.8965934,10.46613114,51.92557349,4,-0.02,-0.03,0.26,4,33,19,-515,352,-21,17.1,-63.7,-141,36,0,0.02,-0.03,189,204,-213,-4,650,467,"A"
"11575",11575,555,127,-40.9,161,18,0.08,0.13,-0.18,47,50,-161,157,602,-295,-22.1,-36.5,-29.3,13,0.59,-0.61,1,79,-91,-32,690,18,252,49.66168061,-31.45468268,-96.661174,16,0.14,0.03,-0.23,-50,77,-133,-563,251,68,0,0,0,42,1.08,-0.47,0.05,-288,292,20,-687,527,722,"C"
"6134",6134,246,2.25,3.11,-88.4,2,-0.03,0.02,0,-8,3,17,44,563,-450,86.4,11.4,113,30,-0.34,0.05,-0.03,-221,162,-111,-329,312,560,39.86795425,94.76644652,45.08565953,26,0.21,-0.4,-0.28,205,98,110,304,366,344,169,6.47,-39.4,28,-0.67,4.03,0.97,193,86,174,459,-744,83,"B"
